amount,card_name,is_foil,is_pinned,set_id
1,"Always Watching",0,0,144
1,"Angel of Deliverance",0,0,144
1,"Angelic Purge",0,0,144
1,"Apothecary Geist",0,0,144
1,"Archangel Avacyn",0,0,144
1,"Avacynian Missionaries",0,0,144
1,"Bound by Moonsilver",0,0,144
1,"Bygone Bishop",0,0,144
1,"Cathar's Companion",0,0,144
1,"Chaplain's Blessing",0,0,144
1,"Dauntless Cathar",0,0,144
1,"Declaration in Stone",0,0,144
1,"Descend upon the Sinful",0,0,144
1,"Devilthorn Fox",0,0,144
1,"Drogskol Cavalry",0,0,144
1,"Eerie Interlude",0,0,144
1,"Emissary of the Sleepless",0,0,144
1,"Ethereal Guidance",0,0,144
1,"Expose Evil",0,0,144
1,"Gryff's Boon",0,0,144
1,"Hanweir Militia Captain",0,0,144
1,"Hope Against Hope",0,0,144
1,"Humble the Brute",0,0,144
1,"Inquisitor's Ox",0,0,144
1,"Inspiring Captain",0,0,144
1,"Militant Inquisitor",0,0,144
1,"Moorland Drifter",0,0,144
1,"Nahiri's Machinations",0,0,144
1,"Nearheath Chaplain",0,0,144
1,"Not Forgotten",0,0,144
1,"Odric, Lunarch Marshal",0,0,144
1,"Open the Armory",0,0,144
1,"Paranoid Parish-Blade",0,0,144
1,"Pious Evangel",0,0,144
1,"Puncturing Light",0,0,144
1,"Reaper of Flight Moonsilver",0,0,144
1,"Silverstrike",0,0,144
1,"Spectral Shepherd",0,0,144
1,"Stern Constable",0,0,144
1,"Strength of Arms",0,0,144
1,"Survive the Night",0,0,144
1,"Tenacity",0,0,144
1,"Thalia's Lieutenant",0,0,144
1,"Thraben Inspector",0,0,144
1,"Topplegeist",0,0,144
1,"Town Gossipmonger",0,0,144
1,"Unruly Mob",0,0,144
1,"Vessel of Ephemera",0,0,144
1,"Aberrant Researcher",0,0,144
1,"Broken Concentration",0,0,144
1,"Catalog",0,0,144
1,"Compelling Deterrence",0,0,144
1,"Confirm Suspicions",0,0,144
1,"Daring Sleuth",0,0,144
1,"Deny Existence",0,0,144
1,"Drownyard Explorers",0,0,144
1,"Drunau Corpse Trawler",0,0,144
1,"Engulf the Shore",0,0,144
1,"Epiphany at the Drownyard",0,0,144
1,"Erdwal Illuminator",0,0,144
1,"Essence Flux",0,0,144
1,"Fleeting Memories",0,0,144
1,"Forgotten Creation",0,0,144
1,"Furtive Homunculus",0,0,144
1,"Geralf's Masterpiece",0,0,144
1,"Ghostly Wings",0,0,144
1,"Gone Missing",0,0,144
1,"Invasive Surgery",0,0,144
1,"Jace, Unraveler of Secrets",0,0,144
1,"Jace's Scrutiny",0,0,144
1,"Just the Wind",0,0,144
1,"Lamplighter of Selhoff",0,0,144
1,"Manic Scribe",0,0,144
1,"Nagging Thoughts",0,0,144
1,"Nephalia Moondrakes",0,0,144
1,"Niblis of Dusk",0,0,144
1,"Ongoing Investigation",0,0,144
1,"Pieces of the Puzzle",0,0,144
1,"Pore Over the Pages",0,0,144
1,"Press for Answers",0,0,144
1,"Rattlechains",0,0,144
1,"Reckless Scholar",0,0,144
1,"Rise from the Tides",0,0,144
1,"Seagraf Skaab",0,0,144
1,"Silburlind Snapper",0,0,144
1,"Silent Observer",0,0,144
1,"Sleep Paralysis",0,0,144
1,"Startled Awake",0,0,144
1,"Stitched Mangler",0,0,144
1,"Stitchwing Skaab",0,0,144
1,"Stormrider Spirit",0,0,144
1,"Thing in the Ice",0,0,144
1,"Trail of Evidence",0,0,144
1,"Uninvited Geist",0,0,144
1,"Unimpeded Trespasser",0,0,144
1,"Vessel of Paramnesia",0,0,144
1,"Welcome to the Fold",0,0,144
1,"Accursed Witch",0,0,144
1,"Alms of the Vein",0,0,144
1,"Asylum Visitor",0,0,144
1,"Behind the Scenes",0,0,144
1,"Behold the Beyond",0,0,144
1,"Biting Rain",0,0,144
1,"Call the Bloodline",0,0,144
1,"Creeping Dread",0,0,144
1,"Crow of Dark Tidings",0,0,144
1,"Dead Weight",0,0,144
1,"Diregraf Colossus",0,0,144
1,"Elusive Tormentor",0,0,144
1,"Ever After",0,0,144
1,"Farbog Revenant",0,0,144
1,"From Under the Floorboards",0,0,144
1,"Ghoulcaller's Accomplice",0,0,144
1,"Ghoulsteed",0,0,144
1,"Gisa's Bidding",0,0,144
1,"Grotesque Mutation",0,0,144
1,"Heir of Falkenrath",0,0,144
1,"Hound of the Farbogs",0,0,144
1,"Indulgent Aristocrat",0,0,144
1,"Kindly Stranger",0,0,144
1,"Liliana's Indignation",0,0,144
1,"Macabre Waltz",0,0,144
1,"Markov Dreadknight",0,0,144
1,"Merciless Resolve",0,0,144
1,"Mindwrack Demon",0,0,144
1,"Morkrut Necropod",0,0,144
1,"Murderous Compulsion",0,0,144
1,"Olivia's Bloodsworn",0,0,144
1,"Pale Rider of Trostad",0,0,144
1,"Pick the Brain",0,0,144
1,"Rancid Rats",0,0,144
1,"Relentless Dead",0,0,144
1,"Rottenheart Ghoul",0,0,144
1,"Sanitarium Skeleton",0,0,144
1,"Shamble Back",0,0,144
1,"Sinister Concoction",0,0,144
1,"Stallion of Ashmouth",0,0,144
1,"Stromkirk Mentor",0,0,144
1,"Throttle",0,0,144
1,"To the Slaughter",0,0,144
1,"Tooth Collector",0,0,144
1,"Triskaidekaphobia",0,0,144
1,"Twins of Maurer Estate",0,0,144
1,"Vampire Noble",0,0,144
1,"Vessel of Malignity",0,0,144
1,"Avacyn's Judgment",0,0,144
1,"Bloodmad Vampire",0,0,144
1,"Breakneck Rider",0,0,144
1,"Burn from Within",0,0,144
1,"Convicted Killer",0,0,144
1,"Dance with Devils",0,0,144
1,"Devils' Playground",0,0,144
1,"Dissension in the Ranks",0,0,144
1,"Dual Shot",0,0,144
1,"Ember-Eye Wolf",0,0,144
1,"Falkenrath Gorger",0,0,144
1,"Fiery Temper",0,0,144
1,"Flameblade Angel",0,0,144
1,"Gatstaf Arsonists",0,0,144
1,"Geier Reach Bandit",0,0,144
1,"Geistblast",0,0,144
1,"Gibbering Fiend",0,0,144
1,"Goldnight Castigator",0,0,144
1,"Harness the Storm",0,0,144
1,"Howlpack Wolf",0,0,144
1,"Hulking Devil",0,0,144
1,"Incorrigible Youths",0,0,144
1,"Inner Struggle",0,0,144
1,"Insolent Neonate",0,0,144
1,"Kessig Forgemaster",0,0,144
1,"Lightning Axe",0,0,144
1,"Mad Prophet",0,0,144
1,"Magmatic Chasm",0,0,144
1,"Malevolent Whispers",0,0,144
1,"Pyre Hound",0,0,144
1,"Ravenous Bloodseeker",0,0,144
1,"Reduce to Ashes",0,0,144
1,"Rush of Adrenaline",0,0,144
1,"Sanguinary Mage",0,0,144
1,"Scourge Wolf",0,0,144
1,"Senseless Rage",0,0,144
1,"Sin Prodder",0,0,144
1,"Skin Invasion",0,0,144
1,"Spiteful Motives",0,0,144
1,"Stensia Masquerade",0,0,144
1,"Structural Distortion",0,0,144
1,"Tormenting Voice",0,0,144
1,"Ulrich's Kindred",0,0,144
1,"Uncaged Fury",0,0,144
1,"Vessel of Volatility",0,0,144
1,"Village Messenger",0,0,144
1,"Voldaren Duelist",0,0,144
1,"Wolf of Devil's Breach",0,0,144
1,"Aim High",0,0,144
1,"Autumnal Gloom",0,0,144
1,"Briarbridge Patrol",0,0,144
1,"Byway Courier",0,0,144
1,"Clip Wings",0,0,144
1,"Confront the Unknown",0,0,144
1,"Crawling Sensation",0,0,144
1,"Cryptolith Rite",0,0,144
1,"Cult of the Waxing Moon",0,0,144
1,"Deathcap Cultivator",0,0,144
1,"Duskwatch Recruiter",0,0,144
1,"Equestrian Skill",0,0,144
1,"Fork in the Road",0,0,144
1,"Gloomwidow",0,0,144
1,"Graf Mole",0,0,144
1,"Groundskeeper",0,0,144
1,"Hermit of the Natterknolls",0,0,144
1,"Hinterland Logger",0,0,144
1,"Howlpack Resurgence",0,0,144
1,"Inexorable Blob",0,0,144
1,"Intrepid Provisioner",0,0,144
1,"Kessig Dire Swine",0,0,144
1,"Lambholt Pacifist",0,0,144
1,"Loam Dryad",0,0,144
1,"Might Beyond Reason",0,0,144
1,"Moldgraf Scavenger",0,0,144
1,"Moonlight Hunt",0,0,144
1,"Obsessive Skinner",0,0,144
1,"Pack Guardian",0,0,144
1,"Quilled Wolf",0,0,144
1,"Rabid Bite",0,0,144
1,"Root Out",0,0,144
1,"Sage of Ancient Lore",0,0,144
1,"Seasons Past",0,0,144
1,"Second Harvest",0,0,144
1,"Silverfur Partisan",0,0,144
1,"Solitary Hunter",0,0,144
1,"Soul Swallower",0,0,144
1,"Stoic Builder",0,0,144
1,"Thornhide Wolves",0,0,144
1,"Tireless Tracker",0,0,144
1,"Traverse the Ulvenwald",0,0,144
1,"Ulvenwald Hydra",0,0,144
1,"Ulvenwald Mysteries",0,0,144
1,"Vessel of Nascency",0,0,144
1,"Veteran Cathar",0,0,144
1,"Watcher in the Web",0,0,144
1,"Weirding Wood",0,0,144
1,"Altered Ego",0,0,144
1,"Anguished Unmaking",0,0,144
1,"Arlinn Kord",0,0,144
1,"Fevered Visions",0,0,144
1,"The Gitrog Monster",0,0,144
1,"Invocation of Saint Traft",0,0,144
1,"Nahiri, the Harbinger",0,0,144
1,"Olivia, Mobilized for War",0,0,144
1,"Prized Amalgam",0,0,144
1,"Sigarda, Heron's Grace",0,0,144
1,"Sorin, Grim Nemesis",0,0,144
1,"Brain in a Jar",0,0,144
1,"Corrupted Grafstone",0,0,144
1,"Epitaph Golem",0,0,144
1,"Explosive Apparatus",0,0,144
1,"Harvest Hand",0,0,144
1,"Haunted Cloak",0,0,144
1,"Magnifying Glass",0,0,144
1,"Murderer's Axe",0,0,144
1,"Neglected Heirloom",0,0,144
1,"Runaway Carriage",0,0,144
1,"Shard of Broken Glass",0,0,144
1,"Skeleton Key",0,0,144
1,"Slayer's Plate",0,0,144
1,"Tamiyo's Journal",0,0,144
1,"Thraben Gargoyle",0,0,144
1,"True-Faith Censer",0,0,144
1,"Wicker Witch",0,0,144
1,"Wild-Field Scarecrow",0,0,144
1,"Choked Estuary",0,0,144
1,"Drownyard Temple",0,0,144
1,"Foreboding Ruins",0,0,144
1,"Forsaken Sanctuary",0,0,144
1,"Fortified Village",0,0,144
1,"Foul Orchard",0,0,144
1,"Game Trail",0,0,144
1,"Highland Lake",0,0,144
1,"Port Town",0,0,144
1,"Stone Quarry",0,0,144
1,"Warped Landscape",0,0,144
1,"Westvale Abbey",0,0,144
1,"Woodland Stream",0,0,144
1,"Plains",0,0,144
