CARD NAME,QTY,SET,LOW (ea.),MID (ea.),HI (ea.),LOW,MID,HI
_____,1,UNH,0.30,0.56,1.89,0.3,0.56,1.89
Æther Burst,1,ODY,0.05,0.19,0.94,0.05,0.19,0.94
Æther Spellbomb,1,MRD,0.04,0.15,0.75,0.04,0.15,0.75
Æthertow,2,SHM,0.05,0.16,0.80,0.1,0.32,1.6
Afflict,1,ODY,0.05,0.15,0.75,0.05,0.15,0.75
Afflict,1,10E,0.05,0.16,0.80,0.05,0.16,0.8
Akki Blizzard-Herder,1,BOK,0.05,0.17,0.85,0.05,0.17,0.85
Alabaster Potion,1,4ED,0.05,0.17,0.85,0.05,0.17,0.85
Alabaster Wall,2,MMQ,0.04,0.15,0.75,0.08,0.3,1.5
Aliban's Tower,1,HML,0.05,0.17,0.85,0.05,0.17,0.85
Ancient Crab,1,OGW,0.03,0.14,0.70,0.03,0.14,0.7
Andradite Leech,1,INV,0.11,0.30,1.50,0.11,0.3,1.5
Angelfire Crusader,1,APC,0.06,0.16,0.80,0.06,0.16,0.8
Angelic Blessing,1,9ED,0.05,0.17,0.85,0.05,0.17,0.85
Angelic Page,1,8ED,0.03,0.17,0.85,0.03,0.17,0.85
Apothecary Initiate,2,SHM,0.05,0.15,0.75,0.1,0.3,1.5
Aqueous Form,4,THS,0.09,0.18,0.90,0.36,0.72,3.6
Ashnod's Altar,2,ATQ,7.00,13.49,21.98,14.0,26.98,43.96
Assault Zeppelid,1,DIS,0.05,0.16,0.80,0.05,0.16,0.8
Atarka Beastbreaker,2,DTK,0.03,0.14,0.70,0.06,0.28,1.4
Atarka Efreet,1,DTK,0.03,0.15,0.75,0.03,0.15,0.75
Atarka Pummeler,1,DTK,0.04,0.22,1.10,0.04,0.22,1.1
Atarka's Command,1,DTK,6.35,11.28,50.00,6.35,11.28,50.0
Aven Sunstriker,1,DTK,0.04,0.20,1.00,0.04,0.2,1.0
Aven Sunstriker,1,DTK,0.04,0.20,1.00,0.04,0.2,1.0
"Azusa, Lost but Seeking",1,CHK,24.34,33.25,42.53,24.34,33.25,42.53
Barren Moor,1,ONS,0.06,0.18,0.90,0.06,0.18,0.9
Battle Mastery,1,LRW,0.08,0.32,1.07,0.08,0.32,1.07
Beastmaster's Magemark,1,GPT,0.04,0.16,0.80,0.04,0.16,0.8
Belbe's Armor,1,NMS,0.08,0.20,0.98,0.08,0.2,0.98
Benalish Missionary,1,WTH,0.05,0.16,0.80,0.05,0.16,0.8
Benthic Infiltrator,4,BFZ,0.03,0.15,0.75,0.12,0.6,3.0
Blighted Fen,1,BFZ,0.07,0.22,1.10,0.07,0.22,1.1
Blighted Woodland,1,BFZ,0.10,0.28,1.40,0.1,0.28,1.4
Blightsoil Druid,1,MOR,0.04,0.15,0.75,0.04,0.15,0.75
Bloodfell Caves,4,FRF,0.05,0.16,0.80,0.2,0.64,3.2
Blossoming Sands,4,KTK,0.03,0.15,0.75,0.12,0.6,3.0
Bog Raiders,1,USG,0.04,0.17,0.85,0.04,0.17,0.85
Bow of Nylea,4,THS,0.88,1.78,4.28,3.52,7.12,17.12
Bronze Horse,1,LEG,0.85,1.52,2.97,0.85,1.52,2.97
Chieftain en-Dal,2,NMS,0.08,0.20,0.98,0.16,0.4,1.96
Cho-Manno's Blessing,1,MMQ,0.05,0.17,0.85,0.05,0.17,0.85
Cinder Crawler,2,EXO,0.04,0.16,0.80,0.08,0.32,1.6
Circle of Protection: Black,2,4ED,0.10,0.14,0.49,0.2,0.28,0.98
Cloud Elemental,1,VIS,0.05,0.17,0.85,0.05,0.17,0.85
Counterspell,4,ICE,0.50,1.20,2.18,2.0,4.8,8.72
Cut the Earthly Bond,2,SOK,0.04,0.16,0.80,0.08,0.32,1.6
Cutthroat il-Dal,1,FUT,0.04,0.16,0.80,0.04,0.16,0.8
Dampen Thought,1,MMA,0.03,0.15,0.75,0.03,0.15,0.75
Death Spark,1,ALL,0.10,0.21,1.00,0.1,0.21,1.0
Defender en-Vec,1,NMS,0.04,0.16,0.80,0.04,0.16,0.8
Dispel,1,BFZ,0.04,0.18,0.90,0.04,0.18,0.9
Dripping-Tongue Zubera,5,CHK,0.04,0.16,0.80,0.2,0.8,4.0
Elvish Visionary,1,ORI,0.04,0.17,0.85,0.04,0.17,0.85
Ember-Fist Zubera,2,CHK,0.04,0.16,0.80,0.08,0.32,1.6
Evolving Wilds,2,DTK,0.04,0.16,0.80,0.08,0.32,1.6
Evolving Wilds,4,BFZ,0.03,0.14,0.70,0.12,0.56,2.8
Fishliver Oil,2,ARN,0.24,0.47,2.26,0.48,0.94,4.52
Floating-Dream Zubera,1,CHK,0.04,0.18,0.90,0.04,0.18,0.9
Forest,1,MMQ,0.10,0.23,0.94,0.1,0.23,0.94
Forest,6,ONS,0.22,0.42,0.79,1.32,2.52,4.74
Forest,15,SOI
Frozen Solid,2,SCG,0.04,0.15,0.75,0.08,0.3,1.5
Frozen Solid,1,CSP,0.04,0.16,0.80,0.04,0.16,0.8
Fugitive Wizard,1,LGN,0.04,0.15,0.75,0.04,0.15,0.75
